model,suite_id,ok,score,elapsed_s,cost_usd,input_tokens,output_tokens,total_tokens
gemini-2.0-flash,sql_injection_simple,False,0.0,0.2427692413330078,,0,0,0
deepseek-chat,sql_injection_simple,True,0.2,4.208193063735962,1.036e-05,44,15,0
deepseek-chat,sql_injection_simple,True,0.2,3.496462821960449,1.036e-05,44,15,0
claude-opus-4,sql_injection_simple,True,1.0,8.651011943817139,0.03144,41,411,452
claude-sonnet-4,sql_injection_simple,True,1.0,10.242364883422852,0.007473,41,490,531
gpt-5,sql_injection_simple,True,0.2,10.588036060333252,0.007218,41,473,514
gemini-2.0-flash-lite,sql_injection_simple,False,0.0,0.1047968864440918,,0,0,0
gemini-2.5-flash,sql_injection_simple,True,0.6,13.780173063278198,0.000195525,39,642,681
gemini-2.5-flash-lite,sql_injection_simple,True,1.0,4.914376974105835,0.0002933625,39,1946,1985
grok-4,sql_injection_simple,True,0.8,15.797381162643433,0.008237999999999999,716,406,0
gpt-5-mini,sql_injection_simple,True,1.0,8.131823062896729,0.001913,41,468,509
gpt-4o-mini,sql_injection_simple,True,0.8,8.74977421760559,0.0003819,42,626,668
grok-code-fast-1,sql_injection_simple,True,0.6,6.589354038238525,0.00074,235,462,0
grok-3-mini,sql_injection_simple,True,0.4,10.828027963638306,0.0001406,42,256,0
gpt-5,sql_injection_complex,True,0.8,11.745007991790771,0.004599,108,285,393
gemini-2.5-flash,sql_injection_complex,True,0.8,12.053531885147095,9.809999999999999e-05,88,305,394
grok-3,sql_injection_simple,True,0.8,27.692512035369873,0.011643,41,768,0
grok-3,sql_injection_simple,True,1.0,27.99200177192688,0.011643,41,768,0
gemini-2.0-flash,sql_injection_complex,False,0.0,0.08486509323120117,,0,0,0
claude-opus-4,sql_injection_complex,True,0.6,12.266599178314209,0.053985,104,699,803
deepseek-chat,sql_injection_complex,True,0.2,4.079820871353149,1.8200000000000002e-05,92,19,0
deepseek-reasoner,sql_injection_simple,True,0.2,31.10029697418213,0.00147617,44,663,0
deepseek-chat,sql_injection_complex,True,0.2,4.691826105117798,1.7080000000000002e-05,92,15,0
gpt-4o,sql_injection_simple,True,0.8,33.38935708999634,0.0063950000000000005,42,629,671
gemini-2.0-flash-lite,sql_injection_complex,False,0.0,0.08446598052978516,,0,0,0
grok-4,sql_injection_complex,True,0.6,16.103944063186646,0.008616,762,422,0
gpt-4o,sql_injection_complex,True,1.0,8.272465944290161,0.00516,88,494,582
grok-3,sql_injection_complex,True,1.0,16.66645097732544,0.011781000000000002,87,768,0
grok-code-fast-1,sql_injection_complex,True,0.4,5.297224044799805,0.0007522,281,464,0
gemini-2.5-flash-lite,sql_injection_complex,True,1.0,6.174556016921997,0.00032145000000000003,88,2121,2210
gpt-5-mini,sql_injection_complex,True,0.65,8.650434255599976,0.001939,87,463,550
claude-sonnet-4,sql_injection_complex,True,0.6,13.28230094909668,0.011232,104,728,832
grok-3-mini,sql_injection_complex,True,0.2,11.075424909591675,0.00012539999999999999,88,198,0
gpt-4o-mini,sql_injection_complex,True,0.8,15.947288036346436,0.00045359999999999997,88,734,822
deepseek-chat,command_injection,True,0.6,3.8847270011901855,1.8760000000000003e-05,90,22,0
gemini-2.5-flash,command_injection,True,0.6,12.989763021469116,7.544999999999999e-05,94,228,322
gpt-5,command_injection,True,0.6,15.696690082550049,0.006153,106,389,495
gemini-2.0-flash,command_injection,False,0.0,0.10365796089172363,,0,0,0
claude-opus-4,command_injection,True,0.85,15.521533012390137,0.07116,99,929,1028
deepseek-reasoner,sql_injection_complex,True,0.4,31.60057306289673,0.00161207,92,713,0
grok-4,command_injection,True,0.6,16.185771942138672,0.006885,760,307,0
gpt-4o,command_injection,True,0.8,8.981966733932495,0.006365,86,615,701
gemini-2.0-flash-lite,command_injection,False,0.0,0.09840893745422363,,0,0,0
deepseek-chat,command_injection,True,0.6,4.609539031982422,1.8760000000000003e-05,90,22,0
gemini-2.5-flash-lite,command_injection,True,0.65,4.811722993850708,0.000288825,94,1902,1996
gpt-5-mini,command_injection,True,0.4,7.345761060714722,0.0020169999999999997,85,483,568
grok-code-fast-1,command_injection,True,0.8,6.3497679233551025,0.0008613,279,537,0
claude-sonnet-4,command_injection,True,0.65,15.436870813369751,0.013707,99,894,993
gpt-4o-mini,command_injection,True,0.65,13.34328007698059,0.0005061,86,822,908
grok-3-mini,command_injection,True,0.0,11.362649202346802,7.63e-05,86,101,0
grok-3,sql_injection_complex,True,1.0,39.82111167907715,0.011781000000000002,87,768,0
deepseek-chat,broken_access_control,True,0.4,4.249293088912964,2.4920000000000002e-05,118,30,0
claude-opus-4,broken_access_control,True,0.6,13.117667198181152,0.053834999999999994,139,690,829
gemini-2.5-flash,broken_access_control,False,0.0,11.864502668380737,,0,0,0
gpt-5,broken_access_control,True,0.4,14.861228942871094,0.006783,131,426,557
gemini-2.0-flash,broken_access_control,False,0.0,0.09164595603942871,,0,0,0
deepseek-reasoner,command_injection,True,0.0,34.66298532485962,0.00173142,90,768,0
grok-3,command_injection,True,0.8,26.670402765274048,0.011775,85,768,0
deepseek-chat,broken_access_control,True,0.4,6.07604193687439,2.7160000000000004e-05,118,38,0
grok-4,broken_access_control,True,0.6,17.612215995788574,0.008745,785,426,0
gemini-2.0-flash-lite,broken_access_control,False,0.0,0.08731603622436523,,0,0,0
gpt-4o,broken_access_control,True,0.4,11.860469102859497,0.0061675,111,589,700
gpt-5-mini,broken_access_control,True,0.4,8.194334983825684,0.002094,110,496,606
gemini-2.5-flash-lite,broken_access_control,True,0.45,5.835449934005737,0.00033896249999999995,115,2231,2347
